"athleteID","first_name","last_name","style","pref"
"938953407","Leroy","Ellison","Breaststroke","Group"
"550144994","Robert","Hall","Freestyle","Group"
"903805198","Ivan","Sexton","Butterfly","Group"
"860787939","Leo","Gilliam","Backstroke","Private"
"148390281","Shay","Estrada","Butterfly","None"
"697674793","Meredith","Allen","Butterfly","Group"
"768802226","Reagan","Fitzpatrick","Breaststroke","Group only"
"200610668","Hammett","Middleton","Butterfly","Private only"
"273926659","Imogene","Strong","Backstroke","Group"
"549965731","Finn","Bryan","Breaststroke","Private only"
"687644047","Blake","Dillon","Backstroke","Group only"
"901449356","Quentin","Wolf","Freestyle","Private only"
"36280932","Adrienne","House","Freestyle","Group"
"955379595","Sara","Cleveland","Freestyle","Group only"
"138569566","May","Gilbert","Breaststroke","None"
"254091181","Gemma","Pearson","Butterfly","Private only"
"68267930","Addison","Atkins","Butterfly","None"
"758561946","Brenda","Bird","Breaststroke","Private only"
"511919030","Vaughan","Shepherd","Breaststroke","Private"
"517528559","Celeste","Parks","Breaststroke","Private"
"941078491","Marah","Mclean","Freestyle","None"
"46475159","Cassady","Bates","Freestyle","Private only"
"601745939","Malik","Green","Freestyle","Private"
"421122933","Austin","Wiley","Freestyle","Group"
"544106116","Aurora","Sargent","Backstroke","Private"
"895329133","Dalton","Mcleod","Freestyle","Private"
"415630536","Karleigh","Branch","Breaststroke","Private only"
"254520030","Kevyn","Hawkins","Backstroke","Group"
"901533849","Ulysses","Hernandez","Butterfly","None"
"678082422","Griffin","Alexander","Butterfly","Group"
"357142636","Victor","Hahn","Butterfly","Group"
"891162545","Skyler","Carroll","Butterfly","None"
"85386631","Basil","Gamble","Backstroke","Private"
"360312883","Prescott","Roman","Backstroke","Private only"
"640142780","Macy","Stout","Backstroke","Private only"
"837796005","Carson","Potts","Breaststroke","Private only"
"509936182","Zeph","Shields","Butterfly","Private only"
"448658843","Darryl","Monroe","Butterfly","None"
"671748309","Burton","Fowler","Freestyle","Private only"
"934898906","Sarah","Allen","Breaststroke","Group only"
"816986670","Margaret","Robles","Backstroke","Group"
"881352457","Mufutau","Schneider","Butterfly","Private only"
"409261421","Halla","Heath","Freestyle","Private only"
"414664437","Fulton","Morrison","Freestyle","Group only"
"207500626","Keane","Francis","Butterfly","Private only"
"678415644","Britanni","Tanner","Butterfly","Private"
"913492622","Latifah","Ellison","Breaststroke","Group only"
"357672537","Lynn","Sweeney","Butterfly","Group only"
"836319400","Kay","Sparks","Breaststroke","Group"
"721179797","MacKenzie","Mathis","Butterfly","Private"
